Chromosome  Adipose   Breast    Colon     Brain     Liver
1           30436458  27337045  33861739  25161231  27796974
2           12907029  13123727  15283045  12125258  10058221
3           10711315  10300047  13519076  9241623   8127379
4           9091330   7032679   9877183   7041493   31336149
5           14394302  12659744  16560360  10709815  8358706
6           12790574  10652252  15480019  8143553   9194371
7           13072594  12490035  16179773  9679871   6905468
8           7014206   6469249   5833539   6192093   4862885
9           11809582  9705593   12923518  7548095   16705968
10          7216410   10352165  7243988   6407490   7543327
11          10511253  11534119  12722955  9884910   19448521
12          13613217  11860828  15026342  9856887   8891810
13          3907588   3491341   4539976   3443674   2109435
14          4136152   4809631   5010459   4848284   13766186
15          6071732   6390375   8393212   5785332   3907820
16          6833174   8565921   9853144   6295791   22463111
17          8594595   9265392   8872397   8576347   7090562
18          1936394   2003221   2335074   3341341   1702335
19          7729073   7496665   7469579   5251037   7942701
20          3442630   3224525   4000356   3846049   2717573
21          3657373   3257462   2292709   1903053   1477306
22          3878601   3285055   3583839   2789201   2073918
X           7350667   6738643   8430821   7343120   4011257
Y           361841    351109    398833    186631    274726
MT          31327202  26883150  49843503  28226147  31070294
GL000207.1  0         0         0         0         1
GL000226.1  2586      116       416       113       42
GL000229.1  97146     82289     42395     26076     20918
GL000231.1  506       687       708       752       159
GL000210.1  150       199       108       96        269
GL000239.1  54        27        12        6         1
GL000235.1  45        16        9         11        0
GL000201.1  108       254       512       8063      5255
GL000247.1  645       3537      285       603       468
GL000245.1  65        34        1         10        1
GL000197.1  252       429       444       1673      102
GL000203.1  26        1         6         9         0
GL000246.1  0         23        19        79        5
GL000249.1  19184     15607     29870     13880     15791
GL000196.1  939       1026      685       1123      384
GL000248.1  51        95        112       2152      28
GL000244.1  268       998       173       698       30
GL000238.1  116952    23778     52225     7818      408
GL000202.1  1053      404       3637      12        26
GL000234.1  72        27        10        19        13
GL000232.1  84        13        37        66        2
GL000206.1  123       89        69        3         2
GL000240.1  417       2581      285       918       225
GL000236.1  100       87        171       361       267
GL000241.1  2123      2220      3405      3601      2153
GL000243.1  280       1704      461       3227      108
GL000242.1  1399      1119      647       1032      223
GL000230.1  215       472       259       299       280
GL000237.1  85        53        43        74        6
GL000233.1  208       1521      127       281       167
GL000204.1  26        68        1149      679       24
GL000198.1  22        50        55        57        7
GL000208.1  35        9         2         41        0
GL000191.1  51450     63185     113229    35100     26537
GL000227.1  2937      5564      2982      5994      2328
GL000228.1  936       2181      1148      3603      545
GL000214.1  2776      13340     11392     12936     433
GL000221.1  3281      20251     2285      3581      1182
GL000209.1  498       260       110       82        138
GL000218.1  8747      24279     8905      4765      40593
GL000220.1  44400046  36013580  16077927  12042756  7430838
GL000213.1  755       1072      493       1987      828
GL000211.1  10290     18816     6182      20236     38854
GL000199.1  272       150       143       400       11
GL000217.1  4889      2347      2004      5819      543
GL000216.1  153       149       222       268       34
GL000215.1  3292      4518      3753      5004      2428
GL000205.1  5814      9542      5643      2767      2614
GL000219.1  10674     10293     16036     9103      5494
GL000224.1  2159      7355      4944      20868     1167
GL000223.1  9659      17272     13593     22519     5070
GL000195.1  9024      14137     11015     3921      8060
GL000212.1  6685      6174      5893      4630      6805
GL000222.1  4193      12444     6054      8016      3288
GL000200.1  7406      5996      11366     8845      5237
GL000193.1  1160      1364      602       2506      148
GL000194.1  9742      27968     10843     4401      9266
GL000225.1  174       104       140       145       29
GL000192.1  5414      7645      5530      22547     5645
NC_007605   483       1103      107       66        76
hs37d5      3600794   3074605   1140579   1404760   1070269
*           0         0         0         0         0
